Open,High,Low,Close,Adj Close,Volume
434.2799987792969,436.4599914550781,430.3900146484375,433.510009765625,430.2796630859375,15128900
433.0,433.3500061035156,426.1000061035156,429.1700134277344,425.97198486328125,17015800
429.8299865722656,433.1199951171875,428.57000732421875,432.1099853515625,428.89007568359375,13396400
435.0899963378906,435.29998779296875,429.1300048828125,431.30999755859375,428.0960388183594,14492000
431.5199890136719,431.8500061035156,427.4700012207031,428.0199890136719,424.83056640625,14896100
428.2099914550781,430.4200134277344,425.3699951171875,430.29998779296875,427.09356689453125,16807300
428.45001220703125,428.4800109863281,418.80999755859375,420.69000244140625,417.55517578125,19092900
422.5799865722656,422.82000732421875,416.7099914550781,417.1300048828125,414.021728515625,16582300
417.6300048828125,419.54998779296875,414.2900085449219,416.5400085449219,413.4361572265625,13686400
418.239990234375,419.75,414.9700012207031,416.05999755859375,412.9596862792969,19169700
416.0,417.1099853515625,409.0,409.5400085449219,406.4883117675781,20919800
410.8999938964844,415.6600036621094,408.1700134277344,414.7099914550781,411.6197814941406,19229300
415.8599853515625,420.3800048828125,414.29998779296875,417.4599914550781,414.3492431640625,14974300
415.2300109863281,417.3500061035156,413.1499938964844,415.8399963378906,412.7413024902344,13848400
416.1400146484375,417.1300048828125,413.25,416.32000732421875,413.2177429199219,14144900
417.7699890136719,424.0400085449219,417.5199890136719,419.1400146484375,416.0167236328125,16653100
422.17999267578125,422.4800109863281,415.260009765625,418.739990234375,415.61968994140625,18900200
415.1700134277344,416.3599853515625,410.4800109863281,416.1199951171875,413.01922607421875,15508900
422.3599853515625,422.5,415.5899963378906,416.7200012207031,413.6147766113281,14820000
417.1400146484375,419.6499938964844,416.260009765625,418.1600036621094,415.0440368652344,17145300
416.1199951171875,418.9599914550781,413.75,418.7799987792969,415.6594543457031,14206100
418.489990234375,430.5799865722656,418.0400085449219,427.510009765625,424.32440185546875,25482200
430.8599853515625,431.0799865722656,422.5299987792969,424.6000061035156,421.4360656738281,19654400
425.3299865722656,425.9800109863281,422.3999938964844,424.7300109863281,421.5650939941406,13581600
